postcode_sector,average_price,average_pred_price,difference_actual_pred_price_per
AB10 1,59.919998,46.665001,.28404585
AB10 6,59.919998,46.665001,.28404585
AB10 7,59.919998,46.665001,.28404585
AB11 5,38.98,46.665001,-.16468446
AB11 6,59.919998,46.665001,.28404585
AB11 7,38.98,46.665001,-.16468446
AB11 8,59.919998,46.665001,.28404585
AB11 9,59.919998,46.665001,.28404585
AB12 3,38.98,46.665001,-.16468446
AB12 4,59.919998,47.310001,.26653984
AB12 5,59.919998,47.490002,.26173931
AB12 9,59.919998,46.665001,.28404585
AB13 0,59.919998,47.310001,.26653984
AB14 0,59.919998,47.310001,.26653984
AB15 4,59.919998,46.665001,.28404585
AB15 5,59.919998,46.665001,.28404585
AB15 6,59.919998,46.665001,.28404585
AB15 7,59.919998,46.665001,.28404585
AB15 8,59.919998,47.310001,.26653984
AB15 9,38.98,46.665001,-.16468446
AB16 5,59.919998,46.665001,.28404585
AB16 6,59.919998,46.665001,.28404585
AB16 7,59.919998,46.665001,.28404585
AB21 0,59.919998,47.310001,.26653984
AB21 7,38.98,46.665001,-.16468446
AB21 9,59.919998,46.665001,.28404585
AB22 8,59.919998,46.665001,.28404585
AB23 8,59.919998,47.490002,.26173931
AB24 1,59.919998,46.665001,.28404585
AB24 2,59.919998,46.665001,.28404585
AB24 3,59.919998,46.665001,.28404585
AB24 4,59.919998,46.665001,.28404585
AB24 5,59.919998,46.665001,.28404585
AB25 1,59.919998,46.665001,.28404585
AB25 2,59.919998,46.665001,.28404585
AB25 3,59.919998,46.665001,.28404585
AB30 1,59.919998,47.490002,.26173931
AB31 4,59.919998,51.095001,.17271748
AB31 5,59.919998,47.310001,.26653984
AB31 6,59.919998,47.490002,.26173931
AB32 6,59.919998,46.855,.27883896
AB32 7,38.98,47.490002,-.17919563
AB33 8,59.919998,51.095001,.17271748
AB34 4,59.919998,51.095001,.17271748
AB34 5,59.919998,51.095001,.17271748
AB35 5,59.919998,58.540001,.023573624
AB36 8,59.919998,51.095001,.17271748
AB37 9,59.919998,51.095001,.17271748
AB38 7,59.919998,47.490002,.26173931
AB38 9,59.919998,47.490002,.26173931
AB39 2,59.919998,46.855,.27883896
AB39 3,59.919998,47.490002,.26173931
AB39 8,38.98,47.490002,-.17919563
AB39 9,59.919998,46.855,.27883896
AB41 6,59.919998,47.490002,.26173931
AB41 7,38.98,47.490002,-.17919563
AB41 8,59.919998,47.490002,.26173931
AB41 9,59.919998,46.855,.27883896
AB42 0,59.919998,47.490002,.26173931
AB42 1,59.919998,46.855,.27883896
AB42 2,59.919998,46.855,.27883896
AB42 3,59.919998,47.490002,.26173931
AB42 4,59.919998,47.490002,.26173931
AB42 5,59.919998,47.490002,.26173931
AB43 6,59.919998,47.490002,.26173931
AB43 7,59.919998,47.490002,.26173931
AB43 8,59.919998,47.490002,.26173931
AB43 9,59.919998,46.855,.27883896
AB44 1,59.919998,48.884998,.22573386
AB45 1,59.919998,48.884998,.22573386
AB45 2,59.919998,51.095001,.17271748
AB45 3,38.98,51.095001,-.23710735
AB51 0,59.919998,47.490002,.26173931
AB51 1,59.919998,46.855,.27883896
AB51 3,38.98,46.855,-.16807172
AB51 4,59.919998,46.855,.27883896
AB51 5,38.98,47.490002,-.17919563
AB51 6,38.98,46.855,-.16807172
AB51 7,59.919998,47.490002,.26173931
AB51 8,38.98,47.490002,-.17919563
AB52 6,59.919998,51.095001,.17271748
AB53 4,59.919998,48.884998,.22573386
AB53 5,59.919998,47.490002,.26173931
AB53 6,59.919998,47.490002,.26173931
AB53 8,59.919998,47.490002,.26173931
AB54 4,59.919998,51.095001,.17271748
AB54 6,59.919998,47.490002,.26173931
AB54 7,59.919998,51.095001,.17271748
AB54 8,59.919998,48.884998,.22573386
AB55 4,59.919998,51.095001,.17271748
AB55 5,59.919998,48.884998,.22573386
AB55 6,59.919998,51.095001,.17271748
AB56 1,59.919998,48.884998,.22573386
AB56 4,59.919998,51.095001,.17271748
AB56 5,59.919998,47.490002,.26173931
AB56 9,59.919998,48.884998,.22573386
DD1 1N,38.98,46.665001,-.16468446
DD1 2Q,38.98,46.665001,-.16468446
DD1 3A,38.98,46.665001,-.16468446
DD1 4H,59.919998,46.665001,.28404585
DD1 5Q,38.98,46.665001,-.16468446
DD1 9T,59.919998,46.665001,.28404585
DD10 0,59.919998,47.490002,.26173931
DD10 1,59.919998,46.855,.27883896
DD10 8,59.919998,46.855,.27883896
DD10 9,59.919998,47.490002,.26173931
DD11 1,38.98,46.855,-.16807172
DD11 2,59.919998,46.855,.27883896
DD11 3,38.98,47.490002,-.17919563
DD11 4,59.919998,46.855,.27883896
DD11 5,59.919998,46.855,.27883896
DD11 9,59.919998,46.855,.27883896
DD2 1P,38.98,46.665001,-.16468446
DD2 2P,59.919998,46.665001,.28404585
DD2 3B,38.98,46.665001,-.16468446
DD2 4U,38.98,46.665001,-.16468446
DD2 5S,38.98,47.490002,-.17919563
DD2 9B,59.919998,46.665001,.28404585
DD3 0N,38.98,46.665001,-.16468446
DD3 6T,38.98,46.665001,-.16468446
DD3 7P,38.98,46.665001,-.16468446
DD3 8B,38.98,46.665001,-.16468446
DD3 9L,59.919998,46.665001,.28404585
DD4 0P,59.919998,47.490002,.26173931
DD4 6S,38.98,46.665001,-.16468446
DD4 7E,59.919998,46.665001,.28404585
DD4 8N,38.98,46.665001,-.16468446
DD4 9J,59.919998,46.665001,.28404585
DD5 1A,59.919998,46.665001,.28404585
DD5 2Q,38.98,46.665001,-.16468446
DD5 3H,59.919998,46.665001,.28404585
DD5 4T,38.98,46.665001,-.16468446
DD6 8P,59.919998,47.310001,.26653984
DD6 9B,59.919998,47.310001,.26653984
DD7 6B,38.98,46.855,-.16807172
DD7 7Q,59.919998,46.855,.27883896
DD8 0S,59.919998,46.855,.27883896
DD8 1B,59.919998,46.855,.27883896
DD8 2S,38.98,47.490002,-.17919563
DD8 3W,59.919998,46.855,.27883896
DD8 4H,59.919998,47.310001,.26653984
DD8 5N,59.919998,47.490002,.26173931
DD9 6L,59.919998,47.310001,.26653984
DD9 7P,59.919998,47.490002,.26173931
DG1 1X,59.919998,47.310001,.26653984
DG1 2P,38.98,46.855,-.16807172
DG1 3G,38.98,47.490002,-.17919563
DG1 4T,59.919998,47.490002,.26173931
DG1 9D,59.919998,46.855,.27883896
DG10 9,38.98,51.095001,-.23710735
DG11 1,59.919998,47.490002,.26173931
DG11 2,59.919998,51.095001,.17271748
DG11 3,59.919998,51.095001,.17271748
DG11 9,59.919998,47.310001,.26653984
DG12 5,59.919998,47.310001,.26653984
DG12 6,38.98,47.310001,-.17607272
DG13 0,59.919998,51.095001,.17271748
DG14 0,59.919998,47.490002,.26173931
DG16 5,59.919998,47.490002,.26173931
DG2 0B,59.919998,46.855,.27883896
DG2 7A,59.919998,46.855,.27883896
DG2 8A,59.919998,47.490002,.26173931
DG2 9Q,38.98,46.855,-.16807172
DG3 4E,59.919998,51.095001,.17271748
DG3 5B,38.98,51.095001,-.23710735
DG3 9A,38.98,47.490002,-.17919563
DG4 6A,59.919998,51.095001,.17271748
DG5 4E,38.98,47.310001,-.17607272
DG6 4B,38.98,48.884998,-.20261839
DG7 1T,59.919998,51.095001,.17271748
DG7 2B,59.919998,58.540001,.023573624
DG7 3E,59.919998,47.490002,.26173931
DG7 9A,59.919998,48.884998,.22573386
DG8 0N,59.919998,47.490002,.26173931
DG8 1A,59.919998,48.884998,.22573386
DG8 6E,38.98,48.884998,-.20261839
DG8 7D,59.919998,51.095001,.17271748
DG8 8D,59.919998,51.095001,.17271748
DG8 9E,59.919998,51.095001,.17271748
DG9 0P,59.919998,47.490002,.26173931
DG9 7P,59.919998,46.855,.27883896
DG9 8L,38.98,47.490002,-.17919563
DG9 9D,59.919998,47.490002,.26173931
EH1 1E,38.98,46.665001,-.16468446
EH1 2E,59.919998,46.665001,.28404585
EH1 3B,59.919998,46.665001,.28404585
EH10 4,59.919998,46.665001,.28404585
EH10 5,59.919998,46.665001,.28404585
EH10 6,59.919998,46.665001,.28404585
EH10 7,59.919998,46.665001,.28404585
EH10 9,59.919998,46.665001,.28404585
EH11 1,38.98,46.665001,-.16468446
EH11 2,59.919998,46.665001,.28404585
EH11 3,59.919998,46.665001,.28404585
EH11 4,59.919998,46.665001,.28404585
EH12 0,38.98,47.490002,-.17919563
EH12 5,38.98,46.665001,-.16468446
EH12 6,38.98,46.665001,-.16468446
EH12 7,59.919998,46.665001,.28404585
EH12 8,59.919998,46.665001,.28404585
EH12 9,38.98,46.665001,-.16468446
EH13 0,38.98,46.665001,-.16468446
EH13 9,38.98,46.665001,-.16468446
EH14 1,59.919998,46.665001,.28404585
EH14 2,59.919998,46.665001,.28404585
EH14 3,38.98,46.665001,-.16468446
EH14 4,38.98,46.665001,-.16468446
EH14 5,38.98,46.665001,-.16468446
EH14 6,38.98,47.490002,-.17919563
EH14 7,38.98,47.490002,-.17919563
EH14 9,59.919998,46.665001,.28404585
EH15 1,38.98,46.665001,-.16468446
EH15 2,59.919998,46.665001,.28404585
EH15 3,38.98,46.665001,-.16468446
EH15 9,38.98,46.665001,-.16468446
EH16 4,59.919998,46.665001,.28404585
EH16 5,59.919998,46.665001,.28404585
EH16 6,38.98,46.665001,-.16468446
EH16 9,59.919998,46.665001,.28404585
EH17 7,59.919998,46.665001,.28404585
EH17 8,38.98,46.665001,-.16468446
EH18 1,59.919998,47.490002,.26173931
EH19 2,38.98,46.855,-.16807172
EH19 3,38.98,46.855,-.16807172
EH2 1G,38.98,46.665001,-.16468446
EH2 2E,59.919998,46.665001,.28404585
EH2 3H,38.98,46.665001,-.16468446
EH2 4A,38.98,46.665001,-.16468446
EH20 9,59.919998,47.310001,.26653984
EH21 6,59.919998,46.665001,.28404585
EH21 7,59.919998,46.665001,.28404585
EH21 8,59.919998,47.490002,.26173931
EH22 1,59.919998,46.855,.27883896
EH22 2,38.98,46.855,-.16807172
EH22 3,59.919998,46.855,.27883896
EH22 4,38.98,46.855,-.16807172
EH22 5,59.919998,46.855,.27883896
EH23 4,38.98,46.855,-.16807172
EH24 9,38.98,47.490002,-.17919563
EH25 9,59.919998,47.310001,.26653984
EH26 0,38.98,46.855,-.16807172
EH26 6,38.98,46.855,-.16807172
EH26 8,59.919998,46.855,.27883896
EH26 9,38.98,46.855,-.16807172
EH27 8,38.98,47.490002,-.17919563
EH28 8,38.98,46.855,-.16807172
EH28 9,38.98,46.855,-.16807172
EH29 9,59.919998,47.310001,.26653984
EH3 5L,59.919998,46.665001,.28404585
EH3 6D,38.98,46.665001,-.16468446
EH3 7T,38.98,46.665001,-.16468446
EH3 8D,38.98,46.665001,-.16468446
EH3 9J,59.919998,46.665001,.28404585
EH30 9,38.98,47.310001,-.17607272
EH31 2,38.98,47.490002,-.17919563
EH32 0,59.919998,47.310001,.26653984
EH32 9,59.919998,46.855,.27883896
EH33 1,59.919998,47.490002,.26173931
EH33 2,59.919998,46.855,.27883896
EH34 5,38.98,47.490002,-.17919563
EH35 5,59.919998,47.490002,.26173931
EH36 5,38.98,47.490002,-.17919563
EH37 5,38.98,47.490002,-.17919563
EH38 5,38.98,47.490002,-.17919563
EH39 4,38.98,48.884998,-.20261839
EH39 5,59.919998,47.490002,.26173931
EH39 9,59.919998,48.884998,.22573386
EH4 1J,59.919998,46.665001,.28404585
EH4 2H,59.919998,46.665001,.28404585
EH4 3T,59.919998,46.665001,.28404585
EH4 4E,59.919998,46.665001,.28404585
EH4 5L,38.98,46.665001,-.16468446
EH4 6N,59.919998,46.665001,.28404585
EH4 7A,59.919998,46.665001,.28404585
EH4 8D,59.919998,46.665001,.28404585
EH4 9B,59.919998,46.665001,.28404585
EH40 3,59.919998,47.490002,.26173931
EH41 3,38.98,47.310001,-.17607272
EH41 4,59.919998,47.310001,.26653984
EH42 1,59.919998,48.884998,.22573386
EH43 6,59.919998,47.490002,.26173931
EH44 6,59.919998,47.310001,.26653984
EH45 8,59.919998,47.310001,.26653984
EH45 9,59.919998,47.310001,.26653984
EH46 7,38.98,47.490002,-.17919563
EH47 0,59.919998,46.855,.27883896
EH47 7,59.919998,46.855,.27883896
EH47 8,59.919998,46.855,.27883896
EH47 9,59.919998,47.310001,.26653984
EH48 1,59.919998,46.855,.27883896
EH48 2,59.919998,46.855,.27883896
EH48 3,38.98,46.855,-.16807172
EH48 4,59.919998,46.855,.27883896
EH48 9,59.919998,46.855,.27883896
EH49 6,38.98,46.855,-.16807172
EH49 7,59.919998,46.855,.27883896
EH5 1A,59.919998,46.665001,.28404585
EH5 2N,38.98,46.665001,-.16468446
EH5 3L,59.919998,46.665001,.28404585
EH51 0,38.98,46.855,-.16807172
EH51 9,59.919998,46.855,.27883896
EH52 5,59.919998,46.855,.27883896
EH52 6,59.919998,46.855,.27883896
EH52 9,59.919998,46.855,.27883896
EH53 0,59.919998,46.855,.27883896
EH54 5,59.919998,46.855,.27883896
EH54 6,38.98,46.855,-.16807172
EH54 7,38.98,46.855,-.16807172
EH54 8,38.98,46.855,-.16807172
EH54 9,38.98,46.855,-.16807172
EH55 8,38.98,46.855,-.16807172
EH6 4A,38.98,46.665001,-.16468446
EH6 5D,38.98,46.665001,-.16468446
EH6 6D,38.98,46.665001,-.16468446
EH6 7L,38.98,46.665001,-.16468446
EH6 8H,38.98,46.665001,-.16468446
EH7 4N,38.98,46.665001,-.16468446
EH7 5F,38.98,46.665001,-.16468446
EH7 6U,38.98,46.665001,-.16468446
EH8 7Q,38.98,46.665001,-.16468446
EH8 8E,38.98,46.665001,-.16468446
EH8 9N,38.98,46.665001,-.16468446
EH9 1R,38.98,46.665001,-.16468446
EH9 2B,38.98,46.665001,-.16468446
EH9 3H,38.98,46.665001,-.16468446
EH91 5,38.98,46.665001,-.16468446
EH95 1,38.98,46.665001,-.16468446
EH99 1,38.98,46.665001,-.16468446
FK1 1L,38.98,46.855,-.16807172
FK1 2D,38.98,47.490002,-.17919563
FK1 3H,38.98,47.490002,-.17919563
FK1 4L,38.98,46.855,-.16807172
FK1 5N,38.98,46.855,-.16807172
FK1 9S,38.98,46.855,-.16807172
FK10 1,38.98,46.855,-.16807172
FK10 2,38.98,46.855,-.16807172
FK10 3,38.98,46.855,-.16807172
FK10 4,38.98,47.310001,-.17607272
FK11 7,38.98,47.490002,-.17919563
FK12 5,38.98,47.310001,-.17607272
FK13 6,38.98,47.310001,-.17607272
FK14 7,38.98,47.490002,-.17919563
FK15 0,38.98,47.310001,-.17607272
FK15 9,38.98,47.310001,-.17607272
FK16 6,38.98,47.490002,-.17919563
FK17 8,71.730003,47.310001,.51616997
FK18 8,71.730003,51.095001,.40385556
FK19 8,71.730003,51.095001,.40385556
FK2 0A,38.98,46.855,-.16807172
FK2 7E,38.98,46.855,-.16807172
FK2 8A,38.98,46.855,-.16807172
FK2 9B,38.98,46.855,-.16807172
FK20 8,71.730003,51.095001,.40385556
FK21 8,71.730003,58.540001,.22531602
FK3 0A,38.98,46.855,-.16807172
FK3 8H,38.98,46.855,-.16807172
FK3 9D,38.98,46.855,-.16807172
FK4 1R,38.98,46.855,-.16807172
FK4 2F,38.98,47.490002,-.17919563
FK5 3N,38.98,46.855,-.16807172
FK5 4Q,38.98,46.855,-.16807172
FK6 5J,38.98,46.855,-.16807172
FK6 6P,38.98,46.855,-.16807172
FK7 0L,38.98,46.855,-.16807172
FK7 7H,38.98,47.490002,-.17919563
FK7 8A,38.98,47.490002,-.17919563
FK7 9J,38.98,46.855,-.16807172
FK8 1X,38.98,46.855,-.16807172
FK8 2A,38.98,46.855,-.16807172
FK8 3B,38.98,47.490002,-.17919563
FK9 4Q,38.98,46.855,-.16807172
FK9 5H,38.98,46.855,-.16807172
G1 1RF,38.98,46.665001,-.16468446
G1 2SD,38.98,46.665001,-.16468446
G1 3HF,38.98,46.665001,-.16468446
G1 4NN,38.98,46.665001,-.16468446
G1 5QA,38.98,46.665001,-.16468446
G11 5P,38.98,46.665001,-.16468446
G11 6R,38.98,46.665001,-.16468446
G11 7P,38.98,46.665001,-.16468446
G11 9F,38.98,46.665001,-.16468446
G12 0R,38.98,46.665001,-.16468446
G12 8T,38.98,46.665001,-.16468446
G12 9X,38.98,46.665001,-.16468446
G13 1U,38.98,46.665001,-.16468446
G13 2Y,38.98,46.665001,-.16468446
G13 3Q,38.98,46.665001,-.16468446
G13 4N,38.98,46.665001,-.16468446
G14 0B,38.98,46.665001,-.16468446
G14 9X,38.98,46.665001,-.16468446
G15 6R,38.98,46.665001,-.16468446
G15 7N,38.98,46.665001,-.16468446
G15 8S,38.98,46.665001,-.16468446
G2 1BA,38.98,46.665001,-.16468446
G2 3LG,38.98,46.665001,-.16468446
G2 4SQ,38.98,46.665001,-.16468446
G2 5AP,38.98,46.665001,-.16468446
G2 6XU,38.98,46.665001,-.16468446
G2 7JD,38.98,46.665001,-.16468446
G2 8LR,38.98,46.665001,-.16468446
G20 0J,38.98,46.665001,-.16468446
G20 6N,38.98,46.665001,-.16468446
G20 7A,38.98,46.665001,-.16468446
G20 8H,38.98,46.665001,-.16468446
G20 9R,38.98,46.665001,-.16468446
G21 1S,38.98,46.665001,-.16468446
G21 2B,38.98,46.665001,-.16468446
G21 3P,38.98,46.665001,-.16468446
G21 4Q,38.98,46.665001,-.16468446
G22 5A,38.98,46.665001,-.16468446
G22 6J,38.98,46.665001,-.16468446
G22 7B,38.98,46.665001,-.16468446
G23 5N,38.98,46.665001,-.16468446
G3 6JP,38.98,46.665001,-.16468446
G3 7HW,38.98,46.665001,-.16468446
G3 8SN,38.98,46.665001,-.16468446
G31 1R,38.98,46.665001,-.16468446
G31 2B,38.98,46.665001,-.16468446
G31 3E,38.98,46.665001,-.16468446
G31 4P,38.98,46.665001,-.16468446
G31 5E,38.98,46.665001,-.16468446
G32 0Q,38.98,46.665001,-.16468446
G32 2A,38.98,46.665001,-.16468446
G32 6P,38.98,46.665001,-.16468446
G32 7X,38.98,46.665001,-.16468446
G32 8L,38.98,46.665001,-.16468446
G32 9L,38.98,46.665001,-.16468446
G33 1J,38.98,46.665001,-.16468446
G33 2P,38.98,46.665001,-.16468446
G33 3J,38.98,46.665001,-.16468446
G33 4T,38.98,46.665001,-.16468446
G33 5P,38.98,46.665001,-.16468446
G33 6B,38.98,46.665001,-.16468446
G34 0D,38.98,46.665001,-.16468446
G34 9B,38.98,46.665001,-.16468446
G4 0UE,38.98,46.665001,-.16468446
G4 9XF,38.98,46.665001,-.16468446
G40 1A,38.98,46.665001,-.16468446
G40 2J,38.98,46.665001,-.16468446
G40 3Y,38.98,46.665001,-.16468446
G40 4A,38.98,46.665001,-.16468446
G41 1A,38.98,46.665001,-.16468446
G41 2N,38.98,46.665001,-.16468446
G41 3H,38.98,46.665001,-.16468446
G41 4B,38.98,46.665001,-.16468446
G41 5S,38.98,46.665001,-.16468446
G42 0E,38.98,46.665001,-.16468446
G42 7R,38.98,46.665001,-.16468446
G42 8R,38.98,46.665001,-.16468446
G42 9X,38.98,46.665001,-.16468446
G43 1B,38.98,46.665001,-.16468446
G43 2J,38.98,46.665001,-.16468446
G44 3N,38.98,46.665001,-.16468446
G44 4D,38.98,46.665001,-.16468446
G44 5L,38.98,46.665001,-.16468446
G44 9B,38.98,46.665001,-.16468446
G45 0A,38.98,46.665001,-.16468446
G45 9T,38.98,46.665001,-.16468446
G46 6D,38.98,46.665001,-.16468446
G46 7B,38.98,46.665001,-.16468446
G46 8T,38.98,46.665001,-.16468446
G46 9S,38.98,46.665001,-.16468446
G5 0SH,38.98,46.665001,-.16468446
G5 8EJ,38.98,46.665001,-.16468446
G5 9RY,38.98,46.665001,-.16468446
G51 1L,38.98,46.665001,-.16468446
G51 2U,38.98,46.665001,-.16468446
G51 3H,38.98,46.665001,-.16468446
G51 4B,38.98,46.665001,-.16468446
G52 1H,38.98,46.665001,-.16468446
G52 2L,38.98,46.665001,-.16468446
G52 3Q,38.98,46.665001,-.16468446
G52 4H,38.98,46.665001,-.16468446
G53 5X,38.98,46.665001,-.16468446
G53 6H,38.98,46.665001,-.16468446
G53 7R,38.98,47.490002,-.17919563
G58 1Y,38.98,46.665001,-.16468446
G58 2S,38.98,46.665001,-.16468446
G60 5J,38.98,46.665001,-.16468446
G61 1N,38.98,46.665001,-.16468446
G61 2L,38.98,46.665001,-.16468446
G61 3D,38.98,46.665001,-.16468446
G61 4Q,38.98,47.490002,-.17919563
G62 6N,38.98,46.665001,-.16468446
G62 7D,38.98,46.665001,-.16468446
G62 8D,38.98,46.665001,-.16468446
G62 9B,38.98,46.665001,-.16468446
G63 0R,38.98,47.490002,-.17919563
G63 9B,38.98,47.490002,-.17919563
G64 1S,38.98,46.665001,-.16468446
G64 2A,38.98,46.665001,-.16468446
G64 3P,38.98,46.665001,-.16468446
G64 4A,38.98,47.490002,-.17919563
G65 0S,38.98,47.490002,-.17919563
G65 9B,38.98,46.855,-.16807172
G66 1P,38.98,46.855,-.16807172
G66 2R,38.98,46.855,-.16807172
G66 3S,38.98,46.855,-.16807172
G66 4H,38.98,46.855,-.16807172
G66 5A,38.98,46.855,-.16807172
G66 7H,38.98,47.310001,-.17607272
G66 8E,38.98,47.310001,-.17607272
G67 1L,38.98,46.855,-.16807172
G67 2J,38.98,46.855,-.16807172
G67 3A,38.98,46.855,-.16807172
G67 4H,38.98,47.490002,-.17919563
G68 0F,38.98,46.855,-.16807172
G68 9F,38.98,46.855,-.16807172
